complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,introspection,object_changes,code_generation,library_loading,defect
44,2661,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,23,5,800,322,76,574,0
74,1467,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,3,1,800,324,76,575,1
74,1467,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,3,1,800,325,76,576,1
74,1467,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,3,1,810,326,76,577,1
153,2741,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,2,3,3,810,328,76,578,0
17,403,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,1,0,810,330,76,579,0
17,403,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,2,1,0,820,332,76,580,0
5,104,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,2,8,4,820,334,76,581,0
44,2697,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,4,2,820,336,76,582,0
74,1599,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,23,7,820,336,76,583,0
74,1599,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,23,7,820,337,76,584,0
74,1599,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,584,0
74,1599,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,585,0
74,1599,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,585,0
74,1599,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,586,0
74,1599,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,587,0
74,1599,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,23,7,820,337,76,588,0
74,1599,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,589,0
74,1599,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,590,0
74,1599,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,591,0
74,1599,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,592,0
74,1599,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,820,337,76,592,0
74,1599,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,2,23,7,820,337,76,593,0
74,1599,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,2,23,7,830,337,76,594,0
5,535,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,15,0,830,338,76,595,0
74,1848,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,2,0,1,830,340,76,596,0
74,1848,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,2,0,1,840,342,76,597,0
20,484,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,2,4,1,840,342,77,598,0
20,484,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,2,4,1,850,342,78,599,0
154,2757,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,2,6,1,850,344,78,600,0
20,486,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,2,1,1,850,344,79,601,0
20,486,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,2,1,1,860,344,80,602,0
10,344,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,2,6,0,860,344,81,603,0
75,1511,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,8,1,860,346,81,604,0
75,1511,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,8,1,860,347,81,605,0
75,1511,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,8,1,870,348,81,606,0
75,1611,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,7,3,870,348,81,607,1
75,1611,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,7,3,870,349,81,608,1
75,1611,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,608,1
75,1611,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,609,1
75,1611,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,609,1
75,1611,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,610,1
75,1611,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,611,1
75,1611,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,7,3,870,349,81,612,1
75,1611,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,613,1
75,1611,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,614,1
75,1611,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,615,1
75,1611,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,616,1
75,1611,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,870,349,81,616,1
75,1611,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,2,7,3,870,349,81,617,1
75,1611,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,2,7,3,880,349,81,618,1
75,1516,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,1,0,880,351,81,619,0
75,1516,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,1,0,880,352,81,620,0
75,1516,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,1,0,890,353,81,621,0
63,1425,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,1,26,890,355,81,622,1
63,1425,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,1,26,890,356,81,623,1
63,1425,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,1,26,900,357,81,624,1
49,681,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,15,0,900,357,81,625,1
44,2697,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,3,1,900,359,81,626,1
28,1795,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,33,81,900,359,81,627,1
63,1425,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,1,1,900,361,81,628,0
63,1425,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,1,1,900,362,81,629,0
63,1425,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,1,1,910,363,81,630,0
62,1381,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,0,7,910,365,81,631,0
62,1381,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,0,7,910,366,81,632,0
62,1381,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,0,7,920,367,81,633,0
64,1421,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,8,0,920,369,81,634,0
64,1421,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,8,0,920,370,81,635,0
