loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
68,41,42,10,0,15,78,,,,,,,,,,,,
428,237,232,19,80,93,447,,,,,,,,,,,,
773,488,617,45,12,97,818,,,,,,,,,,,,
335,184,188,16,74,54,351,,,,,,,,,,,,
31,17,23,1,0,7,32,,,,,,,,,,,,
319,214,205,13,28,61,332,,,,,,,,,,,,
47,25,22,0,19,6,47,,,,,,,,,,,,
1323,801,880,117,125,196,1440,,,,,,,,,,,,
387,233,279,6,36,62,393,,,,,,,,,,,,
60,21,19,0,20,20,60,,,,,,,,,,,,
1102,678,796,68,85,151,1170,,,,,,,,,,,,
148,106,121,2,5,20,150,,,,,,,,,,,,
9,5,3,0,2,3,9,,,,,,,,,,,,
409,252,276,14,62,55,423,,,,,,,,,,,,
102,57,55,5,16,25,107,,,,,,,,,,,,
163,90,116,0,13,33,163,,,,,,,,,,,,
125,97,103,2,0,20,127,,,,,,,,,,,,
384,200,223,12,76,77,396,,,,,,,,,,,,
1087,700,731,52,110,184,1139,,,,,,,,,,,,
14,13,12,9,0,1,23,,,,,,,,,,,,
328,240,225,24,34,46,352,,,,,,,,,,,,
94,50,52,14,11,17,108,,,,,,,,,,,,
101,62,54,9,16,22,110,,,,,,,,,,,,
397,288,291,15,29,64,412,,,,,,,,,,,,
155,76,83,5,29,35,160,,,,,,,,,,,,
1080,674,730,108,109,127,1188,,,,,,,,,,,,
82,54,52,3,13,14,85,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,
