,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
77,12,285,1523,757,1297,19,12,193,1542,12,193,117,230,205,347,1508,2664,7,19053,1058,0,0,58,0,1
78,12,285,701,378,504,33,58,109,734,13,110,68,126,123,194,794,1346,7,10027,557,0,0,58,0,1
79,1,85,13,10,10,0,0,3,13,1,2,1,2,3,3,2,4,0,2,0,0,2,1,1,1
80,4,403,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,2,3,1
81,4,89,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,0,21,0,1
82,153,2747,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,2,16,35,1
83,69,1398,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,201,61,1
84,69,1398,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,201,61,1
85,69,1398,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,201,61,1
86,40,618,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,2,39,1
87,74,1856,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,2,9,197,1
88,74,1856,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,2,9,197,1
89,42,2602,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,265,0,1
90,4,190,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,2,2,2,1
91,34,2129,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,21,48,1
92,40,612,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,6,7,0
93,73,1454,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,12,1,0
94,73,1454,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,12,1,0
95,73,1454,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,12,1,0
96,44,2661,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,23,5,0
97,74,1467,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,3,1,1
98,74,1467,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,3,1,1
99,74,1467,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,3,1,1
100,153,2741,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,2,3,3,0
101,17,403,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,1,0,0
102,17,403,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,2,1,0,0
103,5,104,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,2,8,4,0
104,44,2697,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,4,2,0
105,74,1599,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,23,7,0
106,74,1599,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,23,7,0
107,74,1599,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
108,74,1599,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
109,74,1599,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
110,74,1599,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
111,74,1599,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
112,74,1599,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,23,7,0
113,74,1599,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
114,74,1599,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
115,74,1599,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
116,74,1599,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
117,74,1599,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
118,74,1599,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,7,0
119,74,1599,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,2,23,7,0
120,74,1599,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,2,23,7,0
