CommitID,filename,change_type,lines_added,lines_removed,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/mark/__init__.py,ModificationType.MODIFY,2,0,5076,160,89,115,0,13,31,160,7,15,11,17,22,28,78.25484338853101,124.86408532184433,3.966666666666667,495.2942051099825,27.51634472833236,0.04162136177394811
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/_code/__init__.py,ModificationType.MODIFY,2,0,5076,10,10,9,9,0,0,19,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/assertion/__init__.py,ModificationType.MODIFY,2,0,5076,173,84,99,8,29,36,181,5,12,7,13,17,20,54.62919048309069,81.7492568250068,2.7083333333333335,221.4042372343934,12.300235401910745,0.027249752275002266
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/_io/__init__.py,ModificationType.MODIFY,2,0,5076,3,1,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/python/fixtures.py,ModificationType.MODIFY,6,2,6225,4293,999,3693,19,54,507,4312,9,155,88,170,164,258,1156.3286078304877,1898.248417191466,4.935483870967742,9368.774446138526,520.4874692299181,0.6327494723971553
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/fixtures.py,ModificationType.MODIFY,6,2,6225,1482,859,1002,125,135,219,1607,16,219,134,251,235,385,1766.678366052657,3032.459024427525,9.168949771689498,27804.464479682512,1544.692471093473,1.0108196748091751
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/hookspec.py,ModificationType.MODIFY,2,0,640,647,139,84,35,284,233,682,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_main.py,ModificationType.MODIFY,2,0,3472,77,34,69,0,0,8,77,3,24,16,29,27,45,114.79398751947123,213.9699375973561,1.8125,387.82051189520797,21.54558399417822,0.07132331253245204
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/main.py,ModificationType.MODIFY,2,0,3472,712,438,573,51,9,84,763,14,102,71,128,116,199,733.8903537898989,1364.7382180303869,8.784313725490197,11988.28866034536,666.0160366858534,0.45491273934346227
f739d511b0665dbfc0e93cab8c219c9e34f146c8,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_junitxml.py,ModificationType.MODIFY,14,11,5657,1523,757,1297,19,12,193,1542,12,193,117,230,205,347,1508.3637582013935,2664.7795945283897,7.150259067357513,19053.864458285894,1058.5480254603274,0.8882598648427965
914a9465aba501e776282961fb3317837772435d,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_setuponly.py,ModificationType.RENAME,0,0,,294,64,250,0,0,43,294,1,20,10,20,21,30,86.43856189774725,131.76952268336282,0.5,65.88476134168141,3.6602645189823004,0.04392317422778761
914a9465aba501e776282961fb3317837772435d,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_setupplan.py,ModificationType.RENAME,0,0,,110,30,77,3,13,16,113,4,21,15,30,25,45,100.23866587835397,208.9735285398626,2.857142857142857,597.0672243996074,33.17040135553375,0.06965784284662087
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_infinite_recursion/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_infinite_recursion/tests/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/collect_init_tests/tests/__init__.py,ModificationType.MODIFY,2,0,5076,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_init_given_as_arg/pkg/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/conftest_usageerror/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/marks/marks_considered_keywords/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/config/collect_pytest_prefix/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/issue88_initial_file_multinodes/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/custom_item/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/custom_item/foo/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/doc/en/example/nonpython/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/pytest/__init__.py,ModificationType.MODIFY,2,0,5076,99,48,90,1,3,5,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/__init__.py,ModificationType.MODIFY,2,0,5076,8,5,5,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/config/__init__.py,ModificationType.MODIFY,2,0,5076,1217,716,841,84,126,174,1301,14,185,118,215,199,333,1446.608539104324,2542.995998641035,8.135135135135135,20687.616097052745,1149.3120053918192,0.847665332880345
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/mark/__init__.py,ModificationType.MODIFY,2,0,5076,160,89,115,0,13,31,160,7,15,11,17,22,28,78.25484338853101,124.86408532184433,3.966666666666667,495.2942051099825,27.51634472833236,0.04162136177394811
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/_code/__init__.py,ModificationType.MODIFY,2,0,5076,10,10,9,9,0,0,19,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/assertion/__init__.py,ModificationType.MODIFY,2,0,5076,173,84,99,8,29,36,181,5,12,7,13,17,20,54.62919048309069,81.7492568250068,2.7083333333333335,221.4042372343934,12.300235401910745,0.027249752275002266
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/_io/__init__.py,ModificationType.MODIFY,2,0,5076,3,1,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/python/fixtures.py,ModificationType.MODIFY,6,2,6225,4293,999,3693,19,54,507,4312,9,155,88,170,164,258,1156.3286078304877,1898.248417191466,4.935483870967742,9368.774446138526,520.4874692299181,0.6327494723971553
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/fixtures.py,ModificationType.MODIFY,6,2,6225,1482,859,1002,125,135,219,1607,16,219,134,251,235,385,1766.678366052657,3032.459024427525,9.168949771689498,27804.464479682512,1544.692471093473,1.0108196748091751
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/hookspec.py,ModificationType.MODIFY,2,0,640,647,139,84,35,284,233,682,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_main.py,ModificationType.MODIFY,2,0,3472,77,34,69,0,0,8,77,3,24,16,29,27,45,114.79398751947123,213.9699375973561,1.8125,387.82051189520797,21.54558399417822,0.07132331253245204
77a995ffada780b8136740b0ff468189b60bda7a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/main.py,ModificationType.MODIFY,2,0,3472,712,438,573,51,9,84,763,14,102,71,128,116,199,733.8903537898989,1364.7382180303869,8.784313725490197,11988.28866034536,666.0160366858534,0.45491273934346227
